Voltage,Current,Power
243.54,3.7,900.29
243.22,3.69,896.77
243.57,3.73,907.45
242.51,3.72,901.14
242.54,3.76,910.86
241.93,3.78,915.14
244.04,3.75,915.78
242.79,3.78,917.7
243.48,3.76,915.67
242.89,3.76,913.03
242.26,3.78,915.97
242.82,3.77,915.65
243.49,3.79,922.63
242.72,3.78,918.48
243.66,3.8,925
244.11,3.81,930.08
242.05,3.77,911.49
243.03,3.78,919.04
244.2,3.77,920.24
243.7,3.8,925.09
243.09,3.79,921.78
242.23,3.8,919.27
242.34,3.78,915.02
242.66,3.77,914.12
242.96,3.76,914.5
242.95,3.77,915.75
243.26,3.76,913.91
243.64,3.8,924.94
243.58,3.76,915.32
243.76,3.79,923.07
243.49,3.81,927.28
243.24,3.76,913.87
243.05,3.8,923.34
243.31,3.79,921.24
243.76,3.78,922.13
243.09,3.9,947.08
244.88,3.85,941.7
243.84,3.82,930.51
244.19,3.81,931.29
244.04,3.79,924.92
243.84,3.82,931.93
243.34,3.77,917.49
243.72,3.82,931.07
244.11,3.8,926.8
243.91,3.81,929.1
243.5,3.85,938.44
243.31,3.81,927.37
242.45,3.83,929.33
243.12,3.79,920.95
243.84,3.83,934.71
243.5,3.78,919.31
243.11,3.78,918.21
243.46,3.81,928.36
242.73,3.83,929.38
243.62,3.89,947.53
243.81,3.79,925
243.48,3.84,934.4
243.47,3.84,934.38
244.35,3.81,931.88
244.73,3.81,933.16
243.96,3.83,933.51
243.99,3.82,932.83
243.4,3.79,923.62
243.86,3.84,937.27
243.98,3.78,922.68
243.46,3.82,930.87
244.63,3.84,939.16
244.56,3.81,932.43
243.61,3.82,931.69
243.44,3.85,936.58
243.8,3.81,927.89
242.55,3.84,931.74
243.8,3.83,934.16
244.31,3.8,928.05
243.07,3.79,922.21
243.24,3.86,938.45
245.26,3.86,946.97
242.7,3.84,931.8
243.54,3.78,921.38
244.06,3.81,929.69
244.86,3.85,941.98
242.48,3.83,929.45
244.44,3.8,929.07
243.96,3.79,924.82
243.49,3.87,941.19
243.89,3.78,921.18
242.7,3.84,931.73
244.97,3.79,928.53
244.22,3.83,934.26
243.83,3.83,934.86
244.7,3.82,934.31
244.98,3.86,945.85
242.64,3.85,933.85
244.49,3.84,939.67
243.22,3.85,937.42
243.78,3.8,927.1
245.15,3.85,943.47
244.96,3.87,948.13
245.58,3.85,946.58
243.47,3.79,922.38
245.23,3.86,947.62
243.69,3.79,922.46
244.13,3.8,926.65
244.28,3.87,944.23
243.5,3.79,922.39
244.13,3.82,932.49
243.87,3.79,925.02
243.48,3.86,939.58
244.18,3.73,910.6
238.5,3.54,844.16
238.46,3.52,838.51
237.61,3.56,845.46
237.46,3.54,839.49
238.21,3.57,849.59
238.1,3.55,846.06
237.5,3.56,846.69
238.69,3.63,866.91
237.65,3.61,857.01
238.5,3.66,873.62
237.58,3.62,859.24
238.16,3.6,858.53
238.69,3.58,855.68
235.56,3.34,787.87
234.69,3.35,786.14
235.03,3.37,791.72
235.03,3.34,784.29
235.89,3.36,791.79
235.54,3.41,803.34
235.24,3.37,792.53
234.99,3.39,796.47
234.25,3.38,792.86
235.08,3.38,795.13
234.45,3.37,789.51
235.34,3.4,799.06
235.2,3.38,794.19
235.62,3.38,795.82
235.32,3.4,799.71
235.1,3.39,796.06
235.89,3.39,799.72
235.08,3.39,797.33
235.81,3.38,796.77
235.51,3.39,797.82
235.8,3.39,799.84
235.31,3.39,797.87
235.29,3.39,798.18
235.73,3.41,804.77
236.31,3.38,799.13
236.21,3.41,805.93
236.37,3.42,808.26
235.79,3.42,807.57
235.69,3.39,798.79
235.45,3.38,796.97
3.84,0.18,0.69
4.52,1.62,7.35
234.56,3.36,787.27
234.85,3.37,790.57
235.17,3.36,789.82
235.21,3.41,801.85
235.64,3.42,805.04
235.77,3.42,806.27
234.93,3.47,814.52
235.87,3.43,808.87
235.76,3.43,809.56
235.37,3.42,804.36
235.48,3.46,815.76
236.11,3.43,810.69
235.94,3.43,809.29
235.93,3.4,802.32
236.06,3.43,809.59
